ET,NEE,dayind
1.133018793,1.920767804,398
0.816587206,1.141619779,399
0.314037648,0.626454281,400
1.083664301,0.087004335,401
0.967976831,0.591240032,402
0.703779393,1.577184075,403
0.678870414,1.810046885,404
0.966222606,0.821597432,405
0.862031321,1.254470069,406
0.822191225,0.999226665,407
1.323552953,0.412047742,408
0.783558618,1.629574604,409
0.433089561,2.344986005,410
1.057655544,0.608618039,411
1.364801996,0.989471242,412
0.557203625,1.38622772,413
0.762691074,0.80497647,414
1.521523746,-1.430078856,415
1.564684826,-1.140024854,416
0.824590717,0.286847323,417
0.970849201,-1.085938123,418
1.892894247,-4.152183354,419
1.216898011,-0.484407091,420
1.577826801,-1.836969864,421
2.311243101,-4.167873451,422
2.184482253,-3.415420892,423
0.840746949,-2.897311487,424
2.115310557,-3.31404071,425
2.651279045,-6.394655947,426
2.551675479,-4.737701147,427
2.144171241,-5.155563343,428
2.151170211,-4.948130265,429
0.667402713,1.832692978,430
2.744437318,-6.562587494,431
2.34563083,-5.860624792,432
0.420918448,0.756419652,433
2.896023713,-7.15226504,434
2.293885697,-5.956523689,435
1.818845233,-3.000388457,436
0.933649876,-2.848298878,437
2.939764924,-7.517957361,438
2.902447795,-7.642280431,439
2.663236381,-6.812179376,440
2.532644534,-4.667069457,441
1.588461743,-5.088725077,442
3.332060876,-7.332905581,443
2.411279852,-6.443534755,444
2.347533734,-4.553070457,445
2.644133205,-4.006190606,446
3.328140244,-5.231300012,447
3.380089391,-5.865500271,448
3.844232059,-6.151304502,449
3.085948487,-7.192882479,450
0.897877462,-2.367908039,451
2.016416053,-9.208087598,452
1.440417254,-5.459177842,453
2.135947016,-8.214028055,454
2.82583633,-8.237377507,455
2.178814252,-6.827873142,456
2.657000406,-8.842563294,457
2.601883111,-9.242840768,458
2.490611412,-7.914810249,459
2.629398201,-8.302324802,460
2.623951418,-8.90700625,461
1.56512714,-6.327540747,462
2.557185863,-8.258491823,463
2.131227045,-9.453715798,464
1.855821597,-7.098440859,465
2.638800973,-8.672669082,466
2.860432717,-8.871046465,467
2.979928267,-7.818392228,468
1.998514658,-4.124898335,469
2.096270481,-6.233214088,470
2.645708528,-6.881626933,471
3.037456306,-10.81497929,472
1.897107073,-3.180134293,473
1.972786635,-5.528403743,474
2.847926759,-9.530356987,475
3.102065306,-8.093821738,476
2.170236437,-7.202221421,477
2.05571697,-7.719680578,478
2.669230629,-6.781460968,479
2.500744014,-6.376379818,480
2.217247593,-6.135470862,481
1.728192149,-4.228184479,482
3.578098522,-7.876810953,483
3.125821333,-6.340211611,484
2.027283197,-5.669616916,485
2.695201556,-7.29143562,486
2.58834605,-7.216037613,487
2.010861058,-6.057792292,488
0.663032693,0.668308683,489
1.457035611,-3.896266282,490
1.696638532,-5.567055517,491
0.240774037,1.720575944,492
0.386624739,1.48357894,493
1.845941543,-4.041779205,494
1.790876092,-6.349043649,495
2.715299922,-6.429013983,496
3.520591334,-5.943290351,497
2.679309304,-5.509754618,498
3.135484865,-4.364238369,499
1.996553032,-4.13400001,500
2.665911576,-6.446934793,501
2.241235697,-3.967426349,502
2.744719537,-5.832234119,503
0.296389475,2.150984222,504
1.620392078,-4.996799867,505
1.969146805,-6.35119954,506
3.242064895,-7.308491791,507
3.244687526,-8.351116522,508
2.665878026,-8.228340535,509
3.680674723,-6.806018953,510
2.585922903,-5.836119203,511
1.810470084,-3.506182025,512
1.778508997,-3.869422515,513
2.988829245,-6.152525577,514
1.767205349,-3.305478685,515
3.569462189,-6.247407921,516
0.793367095,0.457534619,517
2.566318873,-5.310260841,518
2.753101812,-7.032097523,519
2.059044939,-6.622716526,520
1.200287398,-4.267659769,521
3.292721113,-4.954669036,522
3.149148057,-6.539580703,523
3.51863524,-6.861298159,524
3.260876395,-6.021387427,525
3.325694616,-6.014240119,526
3.738205859,-5.487183823,527
2.781726259,-6.220500625,528
2.598132545,-5.504638101,529
3.474292593,-4.493742289,530
3.248237264,-5.417348887,531
2.877648409,-3.589346636,532
1.850332583,-4.899273165,533
2.578472885,-3.908063213,534
2.593050975,-5.869091627,535
2.238201649,-4.149373727,536
2.304235869,-5.93751566,537
2.032179205,-4.860462322,538
2.708819628,-4.574270574,539
2.610440922,-3.854749292,540
2.576638337,-5.580200222,541
2.826190091,-6.410278583,542
2.077817136,-3.88834941,543
2.359511193,-5.227371036,544
1.395613812,-2.431301436,545
2.936431779,-5.787845554,546
1.24649321,-2.154525416,547
1.934261309,-4.225849135,548
1.623316595,-3.115496436,549
1.041137135,-0.505724852,550
2.050166421,-3.002977686,551
2.226667015,-5.051344606,552
1.460148738,-4.078360712,553
1.837605322,-4.667845167,554
2.142836734,-4.731691237,555
1.66269544,-5.02416121,556
1.35898619,-3.07441087,557
1.232706835,-3.885348829,558
1.744249134,-5.213860876,559
1.385558494,-5.394063413,560
1.66514006,-5.290991497,561
1.690672519,-4.628802767,562
1.838355192,-5.064171633,563
1.608389412,-4.53943517,564
1.528525015,-5.902102128,565
1.654376332,-4.987791423,566
0.957976511,-1.695616026,567
2.332455461,-4.785195917,568
2.015623871,-4.963164126,569
2.32183138,-4.132647671,570
1.820468067,-5.224227523,571
1.855658627,-5.006799612,572
1.718790379,-4.373992062,573
1.605918308,-3.956999895,574
1.016933569,-4.026861666,575
0.798043914,-2.289084548,576
0.528499659,0.573174173,577
0.705447142,-1.778652359,578
1.216412025,-3.424052182,579
1.087531573,-3.793845944,580
0.718304066,-3.862573722,581
0.435136518,0.035072979,582
1.404289172,-1.555295695,583
1.901554742,-3.950482929,584
1.04440981,-1.565153327,585
1.364813185,-3.523101418,586
1.417508401,-4.021740273,587
1.352090452,-2.307173733,588
1.286645532,-3.123791352,589
1.07734958,-3.231559624,590
0.960758603,-3.329313017,591
0.999690728,-3.121512764,592
1.099653901,-3.089930561,593
1.117437849,-3.641962052,594
1.110717759,-3.409640989,595
0.692581499,-0.217952017,596
0.833552624,-2.309231263,597
0.354645586,-1.312859967,598
0.809514187,-1.925648371,599
0.923325985,-3.228802845,600
0.993414857,-2.16314917,601
0.976184492,-2.096717493,602
0.420608681,0.978198168,603
1.194659917,-2.514954343,604
0.326181771,0.707633059,605
0.298798292,-0.635263098,606
1.021281806,-2.436478634,607
0.536988769,0.175659273,608
0.596842191,-0.212783687,609
0.807840651,-1.180325698,610
0.46743685,0.271121887,611
0.749106606,-0.338089087,763
0.627782174,-1.182820092,764
0.853810625,0.714183442,765
0.875061584,1.007409133,766
0.39464311,2.493371892,767
0.359314605,1.08560174,768
0.83585187,0.77970245,769
0.674385638,0.640645009,770
0.54957375,1.519186761,771
1.024105946,1.196133364,772
1.026369343,0.900974001,773
0.907758923,0.999069633,774
0.942888436,-0.122152137,775
0.913620584,1.445563359,776
1.102810629,0.743682282,777
1.124721573,1.405729268,778
0.466468637,1.969947368,779
0.208779021,0.780086422,780
1.248692418,0.419632033,781
0.758994994,0.537730826,782
0.92941403,0.217863032,783
1.107020493,0.35454215,784
1.145277777,0.335146682,785
1.132710723,0.289789098,786
1.189406377,0.171325045,787
1.123730401,0.3340581,788
0.962462893,-0.102143827,789
1.302710033,-0.372775966,790
1.413488216,-1.577009764,791
1.536199646,-0.558523019,792
1.540718576,-2.193156284,793
1.779539749,-2.459812459,794
1.715794813,-1.972898146,795
1.775493772,-2.99144099,796
2.007358069,-3.01058503,797
2.424691803,-5.311798143,798
2.038895229,-4.085782353,799
1.952002692,-5.102059124,800
1.163304347,-1.20209025,801
1.226590479,-3.309696514,802
1.54572667,-5.244928818,803
1.169499506,-2.939156475,804
1.304070615,-3.882273871,805
2.668777032,-5.707949172,806
1.829750487,-4.821958526,807
1.587270187,-6.194770408,808
2.363619848,-5.96034915,809
2.328241251,-4.752968146,810
2.823172525,-3.781561774,811
2.632292063,-5.900095852,812
2.682579337,-4.624669894,813
2.749052499,-5.311749444,814
2.207601292,-6.402457872,815
2.759117831,-5.652678504,816
3.436855355,-5.225836608,817
2.883722535,-6.233365179,818
