Date,TA_F_avg,VPD_F_avg,P_F_sum,SWC,PAR
2015-03-01,0,0,0,0,0
2015-03-02,0,0,0,0,0
2015-03-03,5.00000004,5.00000004,5.00000004,5.00000004,5.00000004
2015-03-04,0,0,0,0,0
2015-03-05,0,0,0,0,0
2015-03-06,0,0,0,0,0
2015-03-07,0,0,0,0,0
2015-03-08,0,0,0,0,0
2015-03-09,0,0,0,0,0
2015-03-10,0,0,0,0,0
2015-03-11,0,0,0,0,0
2015-03-12,0,0,0,0,0
2015-03-13,2.7,2.7,2.7,2.7,2.7
2015-03-14,0,0,0,0,0
2015-03-15,0,0,0,0,0
2015-03-16,0,0,0,0,0
2015-03-17,0,0,0,0,0
2015-03-18,9.30000276,9.30000276,9.30000276,9.30000276,9.30000276
2015-03-19,0,0,0,0,0
2015-03-20,0,0,0,0,0
2015-03-21,0,0,0,0,0
2015-03-22,0,0,0,0,0
2015-03-23,0,0,0,0,0
2015-03-24,0,0,0,0,0
2015-03-25,0,0,0,0,0
2015-03-26,0,0,0,0,0
2015-03-27,0,0,0,0,0
2015-03-28,0,0,0,0,0
2015-03-29,0,0,0,0,0
2015-03-30,0,0,0,0,0
2015-03-31,2.80000332,2.80000332,2.80000332,2.80000332,2.80000332
2015-04-01,1.80000144,1.80000144,1.80000144,1.80000144,1.80000144
2015-04-02,17.8999974,17.8999974,17.8999974,17.8999974,17.8999974
2015-04-03,24.30000072,24.30000072,24.30000072,24.30000072,24.30000072
2015-04-04,0.50000004,0.50000004,0.50000004,0.50000004,0.50000004
2015-04-05,2.3000004,2.3000004,2.3000004,2.3000004,2.3000004
2015-04-06,0.10000008,0.10000008,0.10000008,0.10000008,0.10000008
2015-04-07,0,0,0,0,0
2015-04-08,0,0,0,0,0
2015-04-09,0,0,0,0,0
2015-04-10,0,0,0,0,0
2015-04-11,0,0,0,0,0
2015-04-12,0,0,0,0,0
2015-04-13,2.70000072,2.70000072,2.70000072,2.70000072,2.70000072
2015-04-14,10.80000072,10.80000072,10.80000072,10.80000072,10.80000072
2015-04-15,4.29999876,4.29999876,4.29999876,4.29999876,4.29999876
2015-04-16,7.0999974,7.0999974,7.0999974,7.0999974,7.0999974
2015-04-17,0,0,0,0,0
2015-04-18,0,0,0,0,0
2015-04-19,20.80000476,20.80000476,20.80000476,20.80000476,20.80000476
2015-04-20,9.20000124,9.20000124,9.20000124,9.20000124,9.20000124
2015-04-21,0,0,0,0,0
2015-04-22,0,0,0,0,0
2015-04-23,0,0,0,0,0
2015-04-24,0,0,0,0,0
2015-04-25,0,0,0,0,0
2015-04-26,0,0,0,0,0
2015-04-27,0,0,0,0,0
2015-04-28,0,0,0,0,0
2015-04-29,5.90000328,5.90000328,5.90000328,5.90000328,5.90000328
2015-04-30,0,0,0,0,0
2015-05-01,0,0,0,0,0
2015-05-02,0.40000068,0.40000068,0.40000068,0.40000068,0.40000068
2015-05-03,9.99999828,9.99999828,9.99999828,9.99999828,9.99999828
2015-05-04,0,0,0,0,0
2015-05-05,0,0,0,0,0
2015-05-06,0,0,0,0,0
2015-05-07,0,0,0,0,0
2015-05-08,0,0,0,0,0
2015-05-09,0,0,0,0,0
2015-05-10,0,0,0,0,0
2015-05-11,15.00000228,15.00000228,15.00000228,15.00000228,15.00000228
2015-05-12,15.99999948,15.99999948,15.99999948,15.99999948,15.99999948
2015-05-13,0,0,0,0,0
2015-05-14,0,0,0,0,0
2015-05-15,0,0,0,0,0
2015-05-16,0,0,0,0,0
2015-05-17,0,0,0,0,0
2015-05-18,0,0,0,0,0
2015-05-19,1.59999948,1.59999948,1.59999948,1.59999948,1.59999948
2015-05-20,0,0,0,0,0
2015-05-21,0,0,0,0,0
2015-05-22,0,0,0,0,0
2015-05-23,0,0,0,0,0
2015-05-24,0,0,0,0,0
2015-05-25,0,0,0,0,0
2015-05-26,0,0,0,0,0
2015-05-27,0,0,0,0,0
2015-05-28,0,0,0,0,0
2015-05-29,0,0,0,0,0
2015-05-30,0.7000002,0.7000002,0.7000002,0.7000002,0.7000002
2015-05-31,0,0,0,0,0
2015-06-01,0,0,0,0,0
2015-06-02,0,0,0,0,0
2015-06-03,0,0,0,0,0
2015-06-04,0,0,0,0,0
2015-06-05,1.70000028,1.70000028,1.70000028,1.70000028,1.70000028
2015-06-06,0,0,0,0,0
2015-06-07,0,0,0,0,0
2015-06-08,0,0,0,0,0
2015-06-09,0,0,0,0,0
2015-06-10,0,0,0,0,0
2015-06-11,0,0,0,0,0
2015-06-12,1.60000056,1.60000056,1.60000056,1.60000056,1.60000056
2015-06-13,1.40000112,1.40000112,1.40000112,1.40000112,1.40000112
2015-06-14,17.09999928,17.09999928,17.09999928,17.09999928,17.09999928
2015-06-15,0,0,0,0,0
2015-06-16,0.10000008,0.10000008,0.10000008,0.10000008,0.10000008
2015-06-17,0.29999988,0.29999988,0.29999988,0.29999988,0.29999988
2015-06-18,0,0,0,0,0
2015-06-19,0,0,0,0,0
2015-06-20,18.19999908,18.19999908,18.19999908,18.19999908,18.19999908
2015-06-21,0,0,0,0,0
2015-06-22,0,0,0,0,0
2015-06-23,0,0,0,0,0
2015-06-24,24.4000008,24.4000008,24.4000008,24.4000008,24.4000008
2015-06-25,1.99999836,1.99999836,1.99999836,1.99999836,1.99999836
2015-06-26,20.9000016,20.9000016,20.9000016,20.9000016,20.9000016
2015-06-27,0,0,0,0,0
2015-06-28,0,0,0,0,0
2015-06-29,0,0,0,0,0
2015-06-30,0,0,0,0,0
2015-07-01,0,0,0,0,0
2015-07-02,0,0,0,0,0
2015-07-03,0,0,0,0,0
2015-07-04,0,0,0,0,0
2015-07-05,1.899999,1.899999,1.899999,1.899999,1.899999
2015-07-06,0,0,0,0,0
2015-07-07,0.20000016,0.20000016,0.20000016,0.20000016,0.20000016
2015-07-08,2.90000088,2.90000088,2.90000088,2.90000088,2.90000088
2015-07-09,0,0,0,0,0
2015-07-10,0,0,0,0,0
2015-07-11,0,0,0,0,0
2015-07-12,25.40000232,25.40000232,25.40000232,25.40000232,25.40000232
2015-07-13,16.69999896,16.69999896,16.69999896,16.69999896,16.69999896
2015-07-14,0,0,0,0,0
2015-07-15,0,0,0,0,0
2015-07-16,0,0,0,0,0
2015-07-17,0,0,0,0,0
2015-07-18,0,0,0,0,0
2015-07-19,7.39999908,7.39999908,7.39999908,7.39999908,7.39999908
2015-07-20,0.20000016,0.20000016,0.20000016,0.20000016,0.20000016
2015-07-21,0.5000004,0.5000004,0.5000004,0.5000004,0.5000004
2015-07-22,0,0,0,0,0
2015-07-23,17.39999988,17.39999988,17.39999988,17.39999988,17.39999988
2015-07-24,56.60000208,56.60000208,56.60000208,56.60000208,56.60000208
2015-07-25,69.99999732,69.99999732,69.99999732,69.99999732,69.99999732
2015-07-26,2.20000104,2.20000104,2.20000104,2.20000104,2.20000104
2015-07-27,0.10000008,0.10000008,0.10000008,0.10000008,0.10000008
2015-07-28,0,0,0,0,0
2015-07-29,27.80000028,27.80000028,27.80000028,27.80000028,27.80000028
2015-07-30,0,0,0,0,0
2015-07-31,0,0,0,0,0
2015-08-01,0,0,0,0,0
2015-08-02,20.90000016,20.90000016,20.90000016,20.90000016,20.90000016
2015-08-03,0,0,0,0,0
2015-08-04,0,0,0,0,0
2015-08-05,0,0,0,0,0
2015-08-06,0,0,0,0,0
2015-08-07,0,0,0,0,0
2015-08-08,15.99999948,15.99999948,15.99999948,15.99999948,15.99999948
2015-08-09,0,0,0,0,0
2015-08-10,0,0,0,0,0
2015-08-11,0,0,0,0,0
2015-08-12,0,0,0,0,0
2015-08-13,16.30000008,16.30000008,16.30000008,16.30000008,16.30000008
2015-08-14,0,0,0,0,0
2015-08-15,0,0,0,0,0
2015-08-16,17.10000216,17.10000216,17.10000216,17.10000216,17.10000216
2015-08-17,0,0,0,0,0
2015-08-18,0,0,0,0,0
2015-08-19,0,0,0,0,0
2015-08-20,2.8999998,2.8999998,2.8999998,2.8999998,2.8999998
2015-08-21,1.60000164,1.60000164,1.60000164,1.60000164,1.60000164
2015-08-22,0,0,0,0,0
2015-08-23,0,0,0,0,0
2015-08-24,0,0,0,0,0
2015-08-25,10.80000036,10.80000036,10.80000036,10.80000036,10.80000036
2015-08-26,0.10000008,0.10000008,0.10000008,0.10000008,0.10000008
2015-08-27,9.10000008,9.10000008,9.10000008,9.10000008,9.10000008
2015-08-28,27.70000056,27.70000056,27.70000056,27.70000056,27.70000056
2015-08-29,0.10000008,0.10000008,0.10000008,0.10000008,0.10000008
2015-08-30,0,0,0,0,0
2015-08-31,0,0,0,0,0
2015-09-01,0,0,0,0,0
2015-09-02,0,0,0,0,0
2015-09-03,0,0,0,0,0
2015-09-04,0,0,0,0,0
2015-09-05,1.10000088,1.10000088,1.10000088,1.10000088,1.10000088
2015-09-06,0,0,0,0,0
2015-09-07,0,0,0,0,0
2015-09-08,0,0,0,0,0
