ET,NEE,dayind
1.473517973,-1.139974135,457
1.273382335,-0.939125479,458
0.535281575,-1.02808379,459
1.101792504,-2.44146375,460
1.235777629,-2.960299296,461
1.048003705,-0.696660223,462
1.095717293,-2.042027685,463
1.202030048,-1.122323326,464
0.633181823,-0.439886913,465
1.299999206,-0.549578902,466
1.093773792,-2.797377155,467
1.215209793,-1.40295428,468
0.829076382,-0.095232846,469
1.247375087,-3.286787239,470
1.348159307,-1.814352122,471
1.052989655,-0.055440157,472
1.071936607,-1.928462275,473
1.360592853,-2.793372381,474
1.389606575,-2.617507992,475
1.134798599,-0.826397108,476
0.869121226,-0.620944742,477
2.012135252,-4.33504959,478
1.028228907,-0.707552488,479
2.086509342,-4.624298076,480
1.744509134,-3.888947675,481
1.546660395,-2.115957628,482
0.540562075,2.551553278,483
1.837062668,-3.407610852,484
2.361285284,-4.514352058,485
1.64556692,-1.811447029,486
2.020464549,-2.354049482,487
1.880862872,-1.221713566,488
0.164367071,2.561256135,489
2.293587193,-6.130727906,490
2.40455767,-4.846361451,491
0.520300462,1.491686818,492
2.443123072,-5.274787766,493
2.232581112,-4.20042137,494
1.892489958,-2.824426219,495
0.78772568,1.864771759,496
3.093744574,-5.357278427,497
2.40008089,-5.564284114,498
2.492428737,-4.16829075,499
2.505826429,-4.445667005,500
1.743705836,-1.945072245,501
2.78236088,-5.963785361,502
2.544285068,-4.428234431,503
2.21748635,-2.818416573,504
2.08291307,-1.976430775,505
2.227516395,-1.609828889,506
2.033338079,-3.311371174,507
1.979047075,-2.222527734,508
1.929277812,-2.557246478,509
0.953196248,-1.184749249,510
1.81929836,-5.391846895,511
1.540121201,-2.870223842,512
2.218705618,-5.476093619,513
2.319764134,-7.179463586,514
2.470344334,-4.911725722,515
2.751442512,-5.726031923,516
3.077145758,-7.353565711,517
1.967722429,-5.933708527,518
2.624725816,-5.038254515,519
3.035907009,-6.524627981,520
1.452844871,-3.293927377,521
2.190326336,-5.060788261,522
1.774286473,-3.486270789,523
1.876707454,-5.172488221,524
2.253792235,-6.398921478,525
2.455114686,-5.942714076,526
2.264979615,-5.066008454,527
1.54447767,-2.912237073,528
1.802518065,-3.071765298,529
2.221534925,-4.825606231,530
1.965057127,-4.966095507,531
1.265176269,-0.892598665,532
2.470133702,-4.849294904,533
2.124750295,-4.880029324,534
2.497011106,-6.098400303,535
2.487732176,-6.190212446,536
2.128422319,-5.178780837,537
2.103283907,-4.89489823,538
1.770588362,-2.796361649,539
2.113215838,-3.872967573,540
1.782128858,-3.157318068,541
2.637880849,-4.789783233,542
2.638429796,-5.6874449,543
1.880876884,-4.740970866,544
2.990287434,-4.894112857,545
1.552749646,-3.270463629,546
1.518240942,-3.174415364,547
0.641047552,0.993417685,548
1.44424623,-2.674278025,549
1.571892685,-3.161204628,550
0.20902824,2.68135224,551
